TestDate;sites_Collection;pop;trait;dose_ppm;dose;Replique;mort;vivant;total;populations;Traitements
17/06/2019;Koira_tagui;culexp;gris;100ppm;100;1;26;0;26;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;10ppm;10;1;26;0;26;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;5ppm;5;1;26;0;26;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;1ppm;1;1;16;9;25;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;0.5ppm;0.5;1;10;16;26;Culex_pipens;Griselesf
20/06/2019;Koira_tagui;An_g;gris;1000ppm;1000;1;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;100ppm;100;1;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;10ppm;10;1;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;5ppm;5;1;15;10;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;1ppm;1;1;7;19;26;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;0.5ppm;0.5;1;2;23;25;An_gambiae;Griselesf
17/06/2019;Koira_tagui;culexp;gris;1000ppm;1000;2;26;0;26;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;100ppm;100;2;25;0;25;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;10ppm;10;2;25;0;25;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;5ppm;5;2;25;0;25;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;1ppm;1;2;17;8;25;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;0.5ppm;0.5;2;9;17;26;Culex_pipens;Griselesf
20/06/2019;Koira_tagui;An_g;gris;1000ppm;1000;2;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;100ppm;100;2;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;10ppm;10;2;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;5ppm;5;2;19;6;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;1ppm;1;2;6;19;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;0.5ppm;0.5;2;3;22;25;An_gambiae;Griselesf
12/06/2019;Koira_tagui;culexp;gris;1000ppm;1000;3;25;0;25;Culex_pipens;Griselesf
12/06/2019;Koira_tagui;culexp;gris;100ppm;100;3;26;0;26;Culex_pipens;Griselesf
12/06/2019;Koira_tagui;culexp;gris;10ppm;10;3;25;0;25;Culex_pipens;Griselesf
12/06/2019;Koira_tagui;culexp;gris;5ppm;5;3;27;0;27;Culex_pipens;Griselesf
12/06/2019;Koira_tagui;culexp;gris;1ppm;1;3;17;8;25;Culex_pipens;Griselesf
12/06/2019;Koira_tagui;culexp;gris;0.5ppm;0.5;3;9;16;25;Culex_pipens;Griselesf
20/06/2019;Koira_tagui;An_g;gris;1000ppm;1000;3;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;100ppm;100;3;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;10ppm;10;3;24;1;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;5ppm;5;3;18;7;25;An_gambiae;Griselesf
